MSc SE DISSERTATION: PLAN (v1 31/05/2024) Vikrant Shah,,,,,,
,Research,,,,15-Jun,
RQ: Leveraging Deep Learning for Enhanced Gleason Grading in Prostate Cancer Histopathology,,,,,,
,,,page count,page count,due date,Status
,Chapter 1 Introduction,, , , ,
,1.1,Overview,2,,06-Jul,
,1.2,Research Questions,0.5,,03-Aug,
,1.3,Contribution,0.5,,10-Aug,
,1.4,Methodology,1,,10-Aug,
,1.6,Overview of the Dissertation,0.5,,10-Aug,
,1.5,Motivation,0.5,5,10-Aug,
,,,,,,
,Chapter 2 Literature Review ,,,,,
,2.1,Overview of AI/ML,2,,22-Jun,
,2.2,Overview of Prostate Cancer Histopathology,2,,29-Jun,
,2.3,Cancer treatment plans,3,,06-Jul,
,2.4,Deep Learning Paradigms for Prostate Cancer Histopathology,6,,13-Jul,
,2.5,Leveraging Deep Learning,3,,20-Jul,
,2.6,Features,4,,27-Jul,
,,2.4.1 CNNs (2 pages),,,,
,,2.4.2 MobileNet (2 pages),,,,
,2.5,Data Set,2,,22-Jun,
,2.6,State of the art,4,,03-Aug,
,2.8,Summary,1,27,03-Aug,
,,,,,,
,Chapter 3: Prototype (Initial),,,8,18-Jul,
,,,,,,
,Chapter 4: Case Studies,,,16,01-Aug,
,,,,,,
,Chapter 5 Discussion and Conclusions,,,1,10-Aug,
,,,,,,
,References,,,3,,
,,,,,,
,,TOTAL PAGE COUNT,,60,,
